enzymes	short_names	genes	MWs	subSystems	OG
P39730	FUN12	YAL035W	112.26703	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism	OG0002895
P39954	SAH1	YER043C	49.12498	sce00270  Cysteine and methionine metabolism	OG0001941
P39965	AIM10	YER087W	65.8796		OG0003210
P39976	DLD3	YEL071W	55.22438	sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism // sce00620  Pyruvate metabolism // sce00920  Sulfur metabolism	NA
P39979	HPA3	YEL066W	18.81408	 // 	NA
P39986	SPF1	YEL031W	135.26722	 // 	OG0000651
P39988	BUD16	YEL029C	35.55879	sce00750  Vitamin B6 metabolism	OG0000648
P40009	YND1	YER005W	71.85127	sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism	NA
P40011	YER010C	YER010C	25.56305	 //  // 	OG0002533
P40012	HEM14	YER014W	59.70226	sce00860  Porphyrin and chlorophyll metabolism // sce01110  Biosynthesis of secondary metabolites	OG0003444
P40015	ISC1	YER019W	53.94002	sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism // sce00600  Sphingolipid metabolism	OG0000999
P40017	YAT2	YER024W	103.33286	sce04146  Peroxisome	NA
P40025	PHM8	YER037W	37.7185	sce00760  Nicotinate and nicotinamide metabolism // sce00760  Nicotinate and nicotinamide metabolism	NA
P40029	MXR1	YER042W	21.1406	 // 	NA
P40047	ALD5	YER073W	56.69214	Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00330  Arginine and proline metabolism // sce00340  Histidine metabolism // sce00380  Tryptophan metabolism // sce00410  beta-Alanine metabolism // sce00561  Glycerolipid metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00071  Fatty acid degradation // sce00280  Valine, leucine and isoleucine degradation // sce00310  Lysine degradation // sce00330  Arginine and proline metabolism // sce00340  Histidine metabolism // sce00380  Tryptophan metabolism // sce00410  beta-Alanine metabolism // sce00561  Glycerolipid metabolism // sce00620  Pyruvate metabolism // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // Gluconeogenesis // sce00010  Glycolysis // sce00340  Histidine metabolism // sce00350  Tyrosine metabolism // sce00360  Phenylalanine metabolism // sce00410  beta-Alanine metabolism // sce01110  Biosynthesis of secondary metabolites	NA
P40054	SER3	YER081W	51.1927	sce00260  Glycine, serine and threonine metabolism // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	NA
P40086	COX15	YER141W	54.65792		OG0001049
P40099	FAU1	YER183C	24.05857	sce00670  One carbon pool by folate //  // 	OG0000755
P40106	GPP2	YER062C	27.8134	sce00561  Glycerolipid metabolism // 	NA
P40215	NDE1	YMR145C	62.77345		NA
P40308	TGL3	YMR313C	73.61177	sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00100  Steroid biosynthesis // sce00561  Glycerolipid metabolism // sce00564  Glycerophospholipid metabolism // sce01110  Biosynthesis of secondary metabolites // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism	OG0000760
P40319	ELO3	YLR372W	39.46475	sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism	NA
P40345	LRO1	YNR008W	75.39242	sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism // sce00561  Glycerolipid metabolism	OG0002744
P40350	ALG5	YPL227C	38.34643	 // 	OG0003389
P40351	ALG8	YOR067C	67.38419	 // 	OG0001677
P40353	ATF1	YOR377W	61.03529	 //  //  //  // 	NA
P40360	ARG2	YJL071W	65.6095	sce00220  Arginine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids // sce00220  Arginine biosynthesis // sce01110  Biosynthesis of secondary metabolites // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	NA
P40363	YJL068C	YJL068C	33.93376	sce01200  Carbon metabolism // sce01200  Carbon metabolism	OG0002366
P40433	PFK26	YIL107C	93.41622	sce00051  Fructose and mannose metabolism	NA
P40459	PAN6	YIL145C	35.03187	sce00410  beta-Alanine metabolism // sce00770  Pantothenate and CoA biosynthesis // sce01110  Biosynthesis of secondary metabolites	OG0003486
P40471	AYR1	YIL124W	32.81359	sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism // sce00564  Glycerophospholipid metabolism	NA
P40495	LYS12	YIL094C	40.06854	sce00300  Lysine biosynthesis // sce01130  Biosynthesis of antibiotics // sce01210  2-Oxocarboxylic acid metabolism // sce01230  Biosynthesis of amino acids	OG0003089
P40506	CAB2	YIL083C	41.86641	sce00770  Pantothenate and CoA biosynthesis	OG0003076
P40510	SER33	YIL074C	51.18777	sce00260  Glycine, serine and threonine metabolism // sce01130  Biosynthesis of antibiotics // sce01200  Carbon metabolism // sce01230  Biosynthesis of amino acids	NA
P40545	HIS6	YIL020C	29.55623	sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids // sce00340  Histidine metabolism // sce01110  Biosynthesis of secondary metabolites // sce01230  Biosynthesis of amino acids	NA
P40553	DOT5	YIL010W	24.11935	 // 	OG0002556
P40559	INP51	YIL002C	108.42834	sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system // sce00562  Inositol phosphate metabolism // sce04070  Phosphatidylinositol signaling system	NA
P40580	IRC24	YIR036C	28.80391	 // 	NA
P40581	HYR1	YIR037W	18.64118	sce00480  Glutathione metabolism // sce00480  Glutathione metabolism	NA
P40582	GTT1	YIR038C	26.79455	 // 	NA
P40825	ALA1	YOR335C	110.05785	sce00970  Aminoacyl-tRNA biosynthesis	OG0002379
P40857	PHS1	YJL097W	24.51045	sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism // sce00062  Fatty acid elongation // sce01040  Biosynthesis of unsaturated fatty acids // sce01110  Biosynthesis of secondary metabolites // sce01212  Fatty acid metabolism	OG0001604
P40884	IMA5	YJL216C	67.556	sce00052  Galactose metabolism // sce00500  Starch and sucrose metabolism	NA
P40970	LCB2	YDR062W	63.11029	sce00600  Sphingolipid metabolism // sce04138  Autophagy - yeast // sce00600  Sphingolipid metabolism // sce04138  Autophagy - yeast	OG0000712
P40975	PMP2	YEL017C-A	4.84797	sce00190  Oxidative phosphorylation // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism // sce00190  Oxidative phosphorylation // sce00230  Purine metabolism // sce00240  Pyrimidine metabolism	NA
P40988	FET4	YMR319C	62.7913		NA
P40989	GSC2	YGR032W	216.9877	sce00500  Starch and sucrose metabolism // sce04011  MAPK signaling pathway - yeast	NA
P41277	GPP1	YIL053W	27.94655	sce00561  Glycerolipid metabolism // 	NA
